formulas,Predicted Solidus (°C),Hardness (GPa),Ductility Ranking (0-5)
Nb0.25Re0.25Ru0.25W0.25,1801.041279,12.3058236,1
Hf0.20Nb0.20Ta0.20Ti0.20Zr0.20,1851.303691,3.3451677,4
Hf0.20Nb0.20Ta0.20Ti0.20Zr0.20,1851.303691,3.3216309,4
Hf0.20Nb0.20Ta0.20Ti0.20Zr0.20,1851.303691,3.2059083,5
Hf0.30Nb0.15Ta0.15Zr0.40,1925.245215,2.5380516,5
Hf0.25Ta0.25Zr0.50,1936.187764,5.7446137,1
Hf0.375Ta0.25Zr37.5,1976.908296,6.2365982,1
Hf0.25Nb0.25Re0.25W0.25,1984.060978,8.4559223,1
Mo0.25Nb0.25Ru0.25W0.25,2010.525852,10.5807723,0
Hf0.25Mo0.25Nb0.25Re0.25,2037.488875,7.953477,0
Hf0.45Mo0.15Nb0.20Ta0.20,2049.113503,4.8051031,2
Mo0.25Nb0.25Re0.25Ru0.25,2085.29987,10.9681488,0
Hf0.20Nb0.20Re0.20Ru0.20W0.20,2087.569846,10.6945335,0
Mo0.20Nb0.20Re0.20Ru0.20W0.20,2096.932923,8.7102505,1
Hf0.25Nb0.25Re0.25Ru0.25,2097.8209,7.9629571,0
Hf0.30Mo0.25Nb0.30Ta0.15,2103.333208,4.6338075,2
Hf0.25Mo0.25Nb0.25W0.25,2108.773166,5.9185245,1
Hf0.25Mo0.25Re0.25Ru0.25,2111.808014,10.8779244,0
Hf0.20Mo0.20Nb0.20Re0.20,2126.057079,8.1865567,1
Mo0.33Ru0.33W0.33,2130.157723,10.7785468,1
Hf0.25Nb0.25Ru0.25Ta0.25,2140.888665,7.3395588,0
Hf0.20Mo0.20Nb0.20Re0.20Ru0.20,2147.061019,10.8118906,0
Hf0.25Mo0.25Re0.25Ta0.25,2151.071361,8.8691239,0
Hf0.25Mo0.25Nb0.25Ru0.25,2153.798586,8.4193095,1
Nb0.25Ru0.25Ta0.25W0.25,2157.043839,8.1623661,1
Nb0.25Re0.25Ru0.25Ta0.25,2157.604853,7.9675337,1
Hf0.20Mo0.20Re0.20Ru0.20W0.20,2164.558979,10.9344781,0
Hf0.25Nb0.25Re0.25Ta0.25,2165.888209,6.6334548,1
Hf0.25Mo0.25Ta0.25W0.25,2171.922431,6.5147901,1
Hf0.25Re0.25Ru0.25W0.25,2175.489763,11.0309136,0
Hf0.25Mo0.25Nb0.25Ta0.25,2177.050601,4.6897074,2
Mo0.25Nb0.25Ru0.25Ta0.25,2177.923224,6.1077996,0
Hf0.25Nb0.25Ru0.25W0.25,2178.323707,7.070847,0
Hf0.33Re0.33Ru0.33,2181.108663,10.5994056,0
Hf0.20Mo0.20Nb0.20Ru0.20Ta0.20,2191.752315,7.3993815,1
Hf0.20Mo0.20Nb0.20Re0.20Ta0.20,2194.066095,6.5147901,1
Hf0.20Nb0.20Re0.20Ta0.20W0.20,2197.824584,7.1967035,1
Hf0.20Nb0.20Re0.20Ru0.20Ta0.20,2198.150565,8.2140163,0
Hf0.20Nb0.20Ru0.20Ta0.20W0.20,2199.403654,7.5124889,1
